GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
playarena,com.playarena.app.util,HibernateUtil,23,0,0,0,7,0,5,0,5,0
playarena,com.playarena.enums,Status,44,0,0,0,5,0,1,0,1,0
playarena,com.playarena.enums,Difficulty,44,0,0,0,5,0,1,0,1,0
playarena,com.playarena.app,App,34,0,0,0,9,0,2,0,2,0
playarena,com.playarena.app.view,Entry,3,0,0,0,1,0,1,0,1,0
playarena,com.playarena.app.model,Game,58,0,0,0,21,0,11,0,11,0
playarena,com.playarena.app.model,Player,23,0,0,0,9,0,6,0,6,0
playarena,com.playarena.app.model,Tournament,3,0,0,0,1,0,1,0,1,0
playarena,com.playarena.app.model,Team,10,0,0,0,3,0,3,0,3,0
playarena,com.playarena.app.repository.impl,PlayerRepositoryImpl,70,0,4,0,27,0,6,0,4,0
playarena,com.playarena.app.service,PlayerService,21,0,0,0,5,0,3,0,3,0
